Name,Description
Swift Swim,Boosts the Pokémon's Speed in rain.
Sturdy,It cannot be knocked out with one hit.
Levitate,Gives immunity to Ground type moves.
Keen Eye,Prevents other Pokémon from lowering accuracy.
Inner Focus,The Pokémon is protected from flinching.
Chlorophyll,Boosts the Pokémon's Speed in sunshine.
Intimidate,Lowers the foe's Attack stat.
Gluttony,Encourages the early use of a held Berry.
Frisk,The Pokémon can check a foe's held item.
Pressure,The Pokémon raises the foe's PP usage.
Sheer Force,Removes added effects to increase move damage.
Run Away,Enables a sure getaway from wild Pokémon.
Swarm,Powers up Bug-type moves in a pinch.
Pickup,The Pokémon may pick up items.
Torrent,Powers up Water-type moves in a pinch.
Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
Overgrow,Powers up Grass-type moves in a pinch.
Blaze,Powers up Fire-type moves in a pinch.
Water Absorb,Restores HP if hit by a Water-type move.
Unnerve,Makes the foe nervous and unable to eat Berries.
Thick Fat,Ups resistance to Fire- and Ice-type moves.
Shell Armor,The Pokémon is protected against critical hits.
Own Tempo,Prevents the Pokémon from becoming confused.
Telepathy,Anticipates an ally's attack and dodges it.
Oblivious,Prevents it from becoming infatuated.
Infiltrator,Passes through the foe's barrier and strikes.
Hustle,"Boosts the Attack stat, but lowers accuracy."
Weak Armor,Physical attacks lower Defense and raise Speed.
Technician,Powers up the Pokémon's weaker moves.
Overcoat,Protects the Pokémon from weather damage.
Hydration,Heals status problems if it is raining.
Guts,Boosts Attack if there is a status problem.
Flash Fire,It powers up Fire-type moves if it's hit by one.
Rock Head,Protects the Pokémon from recoil damage.
Regenerator,Restores a little HP when withdrawn from battle.
Leaf Guard,Prevents problems with status in sunny weather.
Insomnia,Prevents the Pokémon from falling asleep.
Flame Body,Contact with the Pokémon may burn the attacker.
Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
Shed Skin,The Pokémon may heal its own status problems.
Sand Force,Boosts certain moves' power in a sandstorm.
Rivalry,Deals more damage to a Pokémon of same gender.
Mold Breaker,Moves can be used regardless of Abilities.
Damp,Prevents the use of self-destructing moves.
Synchronize,"Passes a burn, poison, or paralysis to the foe."
Static,Contact with the Pokémon may cause paralysis.
Sniper,Powers up moves if they become critical hits.
Sap Sipper,Boosts Attack when hit by a Grass-type move.
Prankster,Gives priority to a status move.
Ice Body,The Pokémon gradually regains HP in a hailstorm.
Poison Point,Contact with the Pokémon may poison the attacker.
Natural Cure,All status problems heal when it switches out.
Clear Body,Prevents other Pokémon from lowering its stats.
Vital Spirit,Prevents the Pokémon from falling asleep.
Steadfast,Raises Speed each time the Pokémon flinches.
Soundproof,Gives immunity to sound-based moves.
Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
Iron Fist,Boosts the power of punching moves.
Early Bird,The Pokémon awakens quickly from sleep.
Defiant,When its stats are lowered its Attack increases.
Anticipation,Senses a foe's dangerous moves.
Unburden,Raises Speed if a held item is used.
Snow Cloak,Raises evasion in a hailstorm.
Limber,The Pokémon is protected from paralysis.
Cute Charm,Contact with the Pokémon may cause infatuation.
Big Pecks,Protects the Pokémon from Defense-lowering attacks.
Serene Grace,Boosts the likelihood of added effects appearing.
Scrappy,Enables moves to hit Ghost-type Pokémon.
Reckless,Powers up moves that have recoil damage.
Rain Dish,The Pokémon gradually regains HP in rain.
Moxie,Boosts Attack after knocking out any Pokémon.
Cursed Body,May disable a move used on the Pokémon.
Adaptability,Powers up moves of the same type.
Speed Boost,Its Speed stat is gradually boosted.
Analytic,Boosts move power when the Pokémon moves last.
Water Veil,Prevents the Pokémon from getting a burn.
Shield Dust,Blocks the added effects of attacks taken.
Quick Feet,Boosts Speed if there is a status problem.
Hyper Cutter,Prevents other Pokémon from lowering Attack stat.
Healer,May heal an ally's status conditions.
Effect Spore,Contact may poison or cause paralysis or sleep.
Compound Eyes,The Pokémon's accuracy is boosted.
Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
Battle Armor,The Pokémon is protected against critical hits.
Strong Jaw,Boosts the power of biting moves.
Skill Link,Increases the frequency of multi-strike moves.
Pickpocket,Steals an item when hit by another Pokémon.
No Guard,Ensures attacks by or against the Pokémon land.
Magic Guard,Protects the Pokémon from indirect damage.
Klutz,The Pokémon can't use any held items.
Justified,Raises Attack when hit by a Dark-type move.
Volt Absorb,Restores HP if hit by an Electric-type move.
Unaware,Ignores any stat changes in the Pokémon.
Tinted Lens,Powers up “not very effective” moves.
Sweet Veil,Prevents the Pokémon and allies from falling asleep.
Super Luck,Heightens the critical-hit ratios of moves.
Stench,The stench may cause the target to flinch.
Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
Sand Rush,Boosts the Pokémon's Speed in a sandstorm.
Poison Touch,May poison targets when a Pokémon makes contact.
Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
Magnet Pull,Prevents Steel-type Pokémon from escaping.
Magic Bounce,Reflects status- changing moves.
Contrary,Makes stat changes have an opposite effect.
Competitive,Raises Special Attack when the Pokémon's stats are lowered.
Bulletproof,Protects the Pokémon from ball and bomb moves.
Anger Point,Maxes Attack after taking a critical hit.
Tough Claws,Boosts the power of contact moves.
Tangled Feet,Raises evasion if the Pokémon is confused.
Sticky Hold,Protects the Pokémon from item theft.
Snow Warning,The Pokémon summons a hailstorm in battle.
Illuminate,Raises the likelihood of meeting wild Pokémon.
Heavy Metal,Doubles the Pokémon's weight.
Friend Guard,Reduces damage done to allies.
Aftermath,Damages the attacker landing the finishing hit.
Storm Drain,Draws in all Water-type moves to up Sp. Attack.
Moody,Raises one stat and lowers another.
Minus,Ups Sp. Atk if another Pokémon has Plus or Minus.
Dry Skin,Reduces HP if it is hot. Water restores HP.
Cloud Nine,Eliminates the effects of weather.
Trace,The Pokémon copies a foe's Ability.
Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.
Shadow Tag,Prevents the foe from escaping.
