Name,Category,Effect
Ability Capsule,Hold items,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Urge,Battle items,"When used, it activates the Ability of an ally Pokémon."
Abomasite,Hold items,Enables Abomasnow to Mega Evolve during battle.
Absolite,Hold items,Enables Absol to Mega Evolve during battle.
Absorb Bulb,Hold items,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
Adamant Mint,Battle items,Changes the Pokémon's stats to match the Adamant nature.
Adamant Orb,Hold items,Increases the power of Dragon- and Steel-type moves when held by Dialga.
Adrenaline Orb,Hold items,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
Aerodactylite,Hold items,Enables Aerodactyl to Mega Evolve during battle.
Aggronite,Hold items,Enables Aggron to Mega Evolve during battle.
Aguav Berry,Berries,"Restores HP if it's low, but may cause confusion."
Air Balloon,Hold items,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
Alakazite,Hold items,Enables Alakazam to Mega Evolve during battle.
Aloraichium Z,Hold items,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer."
Altarianite,Hold items,Enables Altaria to Mega Evolve during battle.
Ampharosite,Hold items,Enables Ampharos to Mega Evolve during battle.
Amulet Coin,Hold items,Doubles prize money if held.
Antidote,Medicine,A spray-type medicine. It lifts the effect of poison from one Pokémon.
Apicot Berry,Berries,Raises Special Defense when HP is low.
Armor Fossil,General items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
Aspear Berry,Berries,"If held by a Pokémon, it defrosts it."
Assault Vest,Hold items,Raises Special Defense but prevents the use of status moves.
Audinite,Hold items,Enables Audino to Mega Evolve during battle.
Awakening,Medicine,A spray-type medicine. It awakens a Pokémon from the clutches of sleep.
Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.
Bach's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
Balm Mushroom,General items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Banettite,Hold items,Enables Banette to Mega Evolve during battle.
Beach Glass,General items,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
Beast Ball,Pokeballs,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
Beedrillite,Hold items,Enables Beedrill to Mega Evolve during battle.
Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Berry Juice,Medicine,A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.
Berry Sweet,Hold items,Evolves Milcery into Blueberry Flavor Alcremie.
Big Malasada,Medicine,Heals all major status conditions.
Big Mushroom,General items,A large and rare mushroom. It is sought after by collectors.
Big Nugget,General items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
Big Pearl,General items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
Big Root,Hold items,Recovers more HP from HP-stealing moves.
Binding Band,Hold items,A band that increases the power of binding moves when held.
Black Apricorn,General items,A black Apricorn It has an indescribable scent.
Black Belt,Hold items,Increases the power of Fighting-type moves.
Black Flute,General items,A toy flute made from black glass. A maniac will buy it for a high price.
Black Glasses,Hold items,Increases the power of Dark-type moves.
Black Sludge,Hold items,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
Blastoisinite,Hold items,Enables Blastoise to Mega Evolve during battle.
Blazikenite,Hold items,Enables Blaziken to Mega Evolve during battle.
Blue Apricorn,General items,A blue Apricorn. It smells a bit like grass.
Blue Flute,General items,A toy flute made from blue glass. A maniac will buy it for a high price.
Blue Scarf,General items,Raises holder's Beauty aspect in a Contest.
Blue Shard,General items,A small blue shard. It appears to be from some sort of implement made long ago.
Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Blunder Policy,Hold items,Raises Speed sharply if its attack misses.
Bob's Food Tin,General items,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
Boiled Egg,General items,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
Bold Mint,Battle items,Changes the Pokémon's stats to match the Bold nature.
Bottle Cap,General items,Maximizes one IV stat in Hyper Training.
Brave Mint,Battle items,Changes the Pokémon's stats to match the Brave nature.
Bread,General items,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
Bright Powder,Hold items,Lowers the opponent's accuracy.
Brittle Bones,General items,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.
Bug Gem,Hold items,Increases the power of a Bug-type move only once.
Bug Memory,Hold items,Changes Silvally and its move Multi-Attack to Bug type.
Buginium Z,Hold items,"Allows the use of Savage Spin-Out, the Bug type Z-Move."
Burn Drive,Hold items,Changes Techno Blast to a Fire-type move when held by Genesect.
Burn Heal,Medicine,A spray-type medicine. It heals a single Pokémon that is suffering from a burn.
Calcium,Medicine,Increases Special Attack EVs by 10.
Calm Mint,Battle items,Changes the Pokémon's stats to match the Calm nature.
Cameruptite,Hold items,Enables Camerupt to Mega Evolve during battle.
Carbos,Medicine,Increases Speed EVs by 10.
Careful Mint,Battle items,Changes the Pokémon's stats to match the Careful nature.
Casteliacone,Medicine,Heals all major status conditions.
Cell Battery,Hold items,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
Chalky Stone,General items,A small whitish stone picked up at the edge of the road.
